moon 	 Point(25.0, 22.0)
redPlanet 	 Point(17.0, 54.0)
greenPlanet 	 Point(22.0, 28.0)
star 	 Point(39.0, 51.0)
moon 	 Point(37.0, 23.0)
redPlanet 	 Point(52.0, 30.0)
greenPlanet 	 Point(34.0, 53.0)
star 	 Point(57.0, 48.0)
moon 	 Point(29.0, 46.0)
redPlanet 	 Point(45.0, 30.0)
greenPlanet 	 Point(57.0, 28.0)
star 	 Point(28.0, 18.0)
moon 	 Point(17.0, 25.0)
redPlanet 	 Point(25.0, 39.0)
greenPlanet 	 Point(13.0, 39.0)
star 	 Point(3.0, 30.0)
moon 	 Point(30.0, 21.0)
redPlanet 	 Point(34.0, 52.0)
greenPlanet 	 Point(23.0, 30.0)
star 	 Point(33.0, 55.0)
moon 	 Point(49.0, 25.0)
redPlanet 	 Point(12.0, 34.0)
greenPlanet 	 Point(21.0, 28.0)
star 	 Point(39.0, 53.0)
moon 	 Point(17.0, 56.0)
redPlanet 	 Point(19.0, 52.0)
greenPlanet 	 Point(27.0, 32.0)
star 	 Point(15.0, 38.0)
moon 	 Point(6.0, 32.0)
redPlanet 	 Point(16.0, 31.0)
greenPlanet 	 Point(28.0, 44.0)
star 	 Point(61.0, 51.0)
moon 	 Point(35.0, 34.0)
redPlanet 	 Point(10.0, 36.0)
greenPlanet 	 Point(44.0, 39.0)
star 	 Point(12.0, 36.0)
greenPlanet 	 Point(47.45932415519399, 51.08514190317195)
redPlanet 	 Point(58.07259073842303, 41.06844741235392)
moon 	 Point(56.270337922403, 53.68948247078464)
greenPlanet 	 Point(8.911138923654567, 25.843071786310517)
