greenPlanet 	 Point(6.4080100125156445, 55.49248747913189)
moon 	 Point(40.550688360450565, 37.362270450751254)
redPlanet 	 Point(12.816020025031289, 30.15025041736227)
redPlanet 	 Point(54.16770963704631, 52.98831385642738)
star 	 Point(17.321652065081352, 47.779632721202006)
star 	 Point(23.429286608260327, 40.76794657762938)
star 	 Point(30.438047559449313, 33.45575959933222)
star 	 Point(37.947434292866085, 26.04340567612688)
star 	 Point(45.45682102628285, 19.63272120200334)
moon 	 Point(33.64205256570713, 46.37729549248748)
moon 	 Point(72.090112640801, 23.138564273789648)
greenPlanet 	 Point(48.86107634543179, 36.56093489148581)
greenPlanet 	 Point(50.16270337922403, 33.5559265442404)
moon 	 Point(55.06883604505632, 5.008347245409013)
moon 	 Point(12.0, 29.0)
redPlanet 	 Point(22.0, 52.0)
greenPlanet 	 Point(53.0, 50.0)
star 	 Point(31.0, 28.0)
moon 	 Point(31.0, 25.0)
redPlanet 	 Point(24.0, 29.0)
greenPlanet 	 Point(39.0, 53.0)
star 	 Point(4.0, 37.0)
moon 	 Point(42.0, 51.0)
redPlanet 	 Point(20.0, 41.0)
greenPlanet 	 Point(48.0, 53.0)
star 	 Point(20.0, 39.0)
moon 	 Point(36.0, 44.0)
redPlanet 	 Point(41.0, 46.0)
greenPlanet 	 Point(8.0, 52.0)
star 	 Point(30.0, 39.0)
moon 	 Point(51.0, 37.0)
redPlanet 	 Point(17.0, 25.0)
greenPlanet 	 Point(20.0, 33.0)
star 	 Point(8.0, 55.0)
moon 	 Point(19.0, 40.0)
redPlanet 	 Point(19.0, 49.0)
greenPlanet 	 Point(41.0, 40.0)
star 	 Point(38.0, 50.0)
moon 	 Point(51.0, 52.0)
redPlanet 	 Point(53.0, 28.0)
greenPlanet 	 Point(17.0, 41.0)
star 	 Point(45.0, 47.0)
moon 	 Point(18.0, 30.0)
redPlanet 	 Point(21.0, 51.0)
greenPlanet 	 Point(21.0, 27.0)
star 	 Point(42.0, 40.0)
